            0         1         2         3         4         5         6   \
PC1  -0.062316  0.073257  0.044666 -0.162810 -0.142915 -0.109991 -0.103911   
PC2  -0.012200  0.015391  0.032726 -0.070000 -0.094312 -0.054188 -0.065336   
PC3  -0.016033  0.022149  0.033984  0.148391  0.106728  0.063081  0.051981   
PC4   0.057108  0.062643  0.045586  0.091959  0.068049  0.055648  0.048964   
PC5  -0.024251 -0.002684 -0.027241  0.001221  0.076734 -0.050575  0.002569   
PC6  -0.083276  0.062622  0.070486  0.077257 -0.011352 -0.025161 -0.055944   
PC7   0.311173  0.039098 -0.022240 -0.119172 -0.007192 -0.111889 -0.024759   
PC8  -0.266925 -0.107021 -0.075465 -0.006137 -0.075329  0.008755 -0.029716   
PC9  -0.095206  0.221929  0.100835 -0.136925 -0.044566 -0.088034 -0.047345   
PC10  0.154476  0.010281  0.002641 -0.084990 -0.056558 -0.103581 -0.084313   
PC11 -0.192336 -0.047049 -0.058363  0.051141  0.085555  0.055421  0.091177   
PC12 -0.087020  0.107175  0.086739  0.153423  0.149875  0.074437  0.082438   
PC13  0.078349 -0.161299 -0.072274  0.073198 -0.060871  0.051929 -0.027010   
PC14 -0.036797 -0.037780 -0.067630 -0.021092 -0.035728 -0.011005 -0.019143   
PC15  0.066677  0.098536  0.136961  0.027148  0.044427  0.025145  0.034405   
PC16  0.281334 -0.023801 -0.080016  0.161532 -0.154274  0.070616 -0.097860   
PC17  0.114353 -0.158241 -0.094820 -0.018708 -0.099965 -0.010110 -0.069222   
PC18 -0.163763 -0.113666 -0.169745 -0.095101  0.000864 -0.074022 -0.035188   
PC19  0.192506  0.095037  0.136156 -0.048792 -0.138021 -0.114799 -0.113799   
PC20 -0.081425 -0.190230 -0.156171 -0.020389  0.053376 -0.015881 -0.022025   
PC21 -0.051706 -0.174199 -0.193270  0.045504  0.119561  0.104647  0.160724   
PC22 -0.136316  0.050484 -0.125439 -0.055499  0.007081 -0.025893  0.066605   
PC23  0.061203 -0.243920 -0.189077 -0.172165 -0.106140 -0.207448 -0.110130   
PC24  0.020083  0.112997  0.150993 -0.076369 -0.047272 -0.000459 -0.005924   
PC25 -0.274086  0.051550  0.017853 -0.272328 -0.086907 -0.222797 -0.074063   
PC26  0.015359 -0.034806 -0.026663  0.172723  0.266324  0.038717  0.187579   
PC27  0.029640 -0.282992 -0.127268 -0.101376 -0.098642 -0.110365 -0.136571   
PC28  0.080108  0.132546 -0.147787 -0.180985 -0.052471 -0.065622 -0.025762   
PC29  0.189619  0.049500 -0.056236 -0.121686 -0.072652 -0.017903  0.012109   
PC30 -0.044756  0.040315 -0.109448  0.117676 -0.046064  0.154523  0.079319   
PC31 -0.329941  0.017568 -0.006222  0.009656 -0.034239  0.078606 -0.000579   
PC32  0.092390  0.023778  0.015103 -0.117471  0.101492 -0.133543  0.138050   
PC33  0.209192 -0.084295  0.070202 -0.084903  0.065970 -0.004469  0.032752   
PC34  0.085690  0.054778 -0.080780  0.242102 -0.054008  0.052557 -0.178751   
PC35 -0.024174 -0.022857 -0.041249 -0.076148 -0.043404 -0.093833 -0.009371   
PC36 -0.126479 -0.085409  0.193788 -0.016994 -0.055302 -0.150942 -0.131747   
PC37  0.181959  0.021483  0.060922  0.033639  0.094504  0.053674  0.060183   
PC38  0.205482  0.116892 -0.164051 -0.145766 -0.001702  0.086075  0.098035   
PC39  0.051531 -0.004297  0.058451 -0.075984 -0.042550  0.132817  0.162380   

            35        36        37        38        39        40        41  \
PC0  -0.121287 -0.116049 -0.077806  0.093613 -0.043410 -0.074023  0.005331   
PC1  -0.132258 -0.117719 -0.083573 -0.093757 -0.067909 -0.059763  0.089253   
PC2  -0.086426 -0.148018 -0.138424 -0.058044 -0.151602 -0.122408 -0.120691   
PC3  -0.116254 -0.084453  0.148745  0.104191  0.174711  0.178708  0.271235   
PC4   0.059339 -0.018271  0.124808  0.139404  0.126419  0.124944 -0.012504   
PC5  -0.170768 -0.069434  0.084746  0.031339  0.112917  0.096867  0.035681   
PC6  -0.148485 -0.062333  0.266191  0.004442  0.299019  0.265866 -0.260460   
PC7  -0.030748 -0.190497  0.029998  0.280183  0.039246 -0.031970 -0.086194   
PC8  -0.068442  0.052872  0.078268 -0.205970  0.087357  0.075004  0.067716   
PC9  -0.040332 -0.014063 -0.086585 -0.088512 -0.091095 -0.028415  0.085895   
PC10  0.034809 -0.026840  0.001566  0.042579  0.005869  0.034487  0.124367   
PC11  0.022336  0.029874 -0.181010  0.007288 -0.185030 -0.176209 -0.045663   
PC12  0.016584 -0.035295  0.033373  0.119716  0.004373  0.015781 -0.132072   
PC13  0.098956  0.135664  0.023856 -0.075880  0.020201 -0.000983 -0.057421   
PC14  0.084992  0.109043 -0.178115 -0.096288 -0.195232 -0.221503 -0.072180   
PC15 -0.039466 -0.042567 -0.147305  0.057860 -0.140157 -0.051878  0.085319   
PC16  0.007089  0.107028  0.123676 -0.338452  0.119579 -0.121209  0.203444   
PC17  0.092603 -0.115463  0.067622  0.058395  0.050054  0.049659  0.093920   
PC18 -0.029894 -0.081695  0.186814 -0.032105  0.173136  0.203205  0.004639   
PC19 -0.031757  0.099472  0.062077 -0.201107  0.011790 -0.169642 -0.018124   
PC20 -0.050845 -0.362070 -0.107889 -0.189358 -0.106212  0.006607 -0.039106   
PC21 -0.034936  0.054343 -0.137198  0.198086 -0.090200 -0.126138  0.097467   
PC22 -0.203864 -0.070703  0.038337  0.195486  0.065265 -0.184365  0.078900   
PC23 -0.119449  0.047197  0.080082  0.055103  0.060055 -0.047535  0.045612   
PC24 -0.041728 -0.240344 -0.027712  0.190196 -0.048968 -0.042998  0.188262   
PC25  0.131887  0.134899  0.133067  0.106963  0.053989 -0.059555  0.015209   
PC26  0.083142 -0.046822  0.070929  0.140420 -0.010519 -0.016633 -0.022641   
PC27 -0.057375  0.030218 -0.035126  0.142388 -0.017762  0.070919 -0.022446   
PC28 -0.014887 -0.271689 -0.086508 -0.104012 -0.053960  0.231800  0.081441   
PC29 -0.157686 -0.252381 -0.006424 -0.026391 -0.019404 -0.044540 -0.191738   
PC30 -0.088942  0.037757  0.179680 -0.294461  0.156628 -0.266957 -0.109309   
PC31  0.012150 -0.031511 -0.047091 -0.104977 -0.041976  0.080729  0.126381   
PC32  0.157922  0.143637  0.163919  0.110280  0.124191 -0.206121  0.080964   
PC33  0.129055  0.156462 -0.112010 -0.080864 -0.083983  0.282840 -0.090584   
PC34  0.045493  0.055911 -0.052081  0.212050 -0.116051  0.067828  0.017811   
PC35  0.222092  0.215359 -0.023746  0.099136 -0.009171  0.032749  0.050478   
PC36 -0.185741  0.097505  0.019002  0.219792 -0.029165 -0.039187 -0.005816   
PC37 -0.299770  0.240147 -0.098185 -0.224970 -0.017218  0.155364  0.014947   
PC38  0.029226  0.004911 -0.218622 -0.004754  0.067657  0.229407  0.066121   
PC39 -0.230662 -0.168919  0.107587  0.011834  0.011647 -0.178737  0.255661   

            42        43        44        45        46        47        48  \
PC0  -0.062108  0.055061 -0.014401 -0.139654 -0.097305 -0.104529 -0.068026   
PC1   0.074556  0.065935  0.074898 -0.094632 -0.079564  0.050876  0.059200   
PC2  -0.006649 -0.078687  0.027738 -0.091925 -0.192228 -0.142694  0.049848   
PC3   0.277392  0.234541  0.270908 -0.025240 -0.044741  0.118006  0.206011   
PC4   0.102833  0.004237  0.119803  0.028472 -0.081842 -0.071568  0.146841   
PC5  -0.142341 -0.022591 -0.185532 -0.130079  0.108780  0.063932 -0.247164   
PC6  -0.194720 -0.208658 -0.177043 -0.088756 -0.103085 -0.161791 -0.096761   
PC7  -0.067545 -0.134373 -0.087309  0.003145 -0.082980  0.086438  0.131881   
PC8   0.112766  0.077124  0.091488 -0.056938 -0.078532 -0.056047  0.056783   
PC9   0.074498  0.143178  0.097570  0.035500  0.080484 -0.007998  0.021185   
PC10  0.028368  0.341956  0.228384  0.260771  0.253473 -0.313623 -0.165812   
PC11  0.017546 -0.000106  0.062355  0.030407 -0.001502 -0.108532  0.009164   
PC12 -0.122571 -0.038457 -0.058793  0.069902  0.072482 -0.156699 -0.131942   
PC13 -0.091580 -0.100594 -0.152360 -0.036542 -0.073734 -0.072364  0.010920   
PC14 -0.047570 -0.113592 -0.088375 -0.058868 -0.089826  0.038495 -0.001358   
PC15 -0.046515  0.025782 -0.079338 -0.030678  0.091387  0.084728 -0.134394   
PC16 -0.145037  0.193290 -0.064784  0.056340  0.125858  0.134335 -0.209529   
PC17  0.025870  0.050700  0.021229  0.046869 -0.034981  0.125966 -0.066531   
PC18  0.106632 -0.022237  0.107173 -0.028955 -0.062087 -0.007355  0.038832   
PC19  0.174525 -0.020425  0.033561 -0.090667 -0.386303 -0.214544  0.262891   
PC20  0.077797 -0.125203  0.105746  0.033305 -0.010861  0.129248 -0.157228   
PC21  0.069297  0.088313  0.014783  0.014135  0.035245 -0.039342  0.053220   
PC22 -0.061504  0.096973 -0.081050 -0.050262  0.025843  0.069135 -0.090474   
PC23  0.015213  0.048969 -0.124314  0.045855 -0.040812 -0.086624  0.073165   
PC24 -0.026581  0.243036 -0.239950  0.064702 -0.192237 -0.132395 -0.252393   
PC25 -0.019062 -0.025107  0.028404 -0.072828 -0.021416  0.123942 -0.150356   
PC26 -0.006714  0.090745 -0.067917  0.219082 -0.245710 -0.020187  0.139111   
PC27  0.046121  0.067309 -0.015894 -0.023933 -0.111107 -0.079295 -0.110693   
PC28 -0.070717  0.019451 -0.190912  0.110547  0.011556 -0.102032 -0.011507   
PC29  0.087768 -0.220481  0.130172  0.147613  0.243487  0.110784  0.114112   
PC30  0.004033  0.026892 -0.058483  0.183822  0.138102 -0.119051 -0.002071   
PC31 -0.233946  0.225155 -0.191979  0.145176 -0.320346  0.121820  0.090406   
PC32  0.053766 -0.018578  0.099629 -0.199831 -0.109960  0.040109 -0.275789   
PC33  0.041731  0.071821  0.056541 -0.085612 -0.037144 -0.061116 -0.311095   
PC34  0.179349 -0.121635  0.098305 -0.169025 -0.064271  0.044550 -0.092220   
PC35 -0.159890  0.046152 -0.074921  0.031448  0.065153 -0.062503  0.145768   
PC36 -0.058939 -0.025306 -0.144685  0.341127  0.193910  0.183146  0.149054   
PC37  0.029391  0.011964 -0.029232  0.063717 -0.117989  0.168152 -0.100009   
PC38 -0.112302  0.040147 -0.081606  0.059417 -0.172654  0.055552  0.145833   
PC39  0.128904 -0.119345 -0.063278 -0.241432 -0.051235 -0.141408 -0.113537   

            49        50        51        52        53        54        55  \
PC0  -0.091794 -0.103174  0.093469  0.095596  0.114893  0.113526 -0.133719   
PC1   0.064060  0.034310  0.148570  0.156758  0.073642  0.116244 -0.164665   
PC2  -0.129959 -0.125326 -0.143423 -0.137796 -0.112891 -0.118738 -0.056616   
PC3   0.141118  0.123208 -0.078868 -0.083786 -0.064539 -0.078159 -0.074453   
PC4  -0.050426 -0.057292  0.190071  0.195109  0.158307  0.184674  0.053081   
PC5   0.078563  0.064874 -0.018553 -0.045832 -0.005810 -0.041580 -0.094251   
PC6  -0.160567 -0.127718  0.039807  0.020962  0.036006  0.015837 -0.079862   
PC7   0.085685  0.014720 -0.149967 -0.072415 -0.182533 -0.075333 -0.013947   
PC8  -0.043477  0.033679 -0.065465 -0.066408 -0.009035 -0.032364 -0.014777   
PC9   0.003036  0.064581 -0.024002  0.092344 -0.105514  0.053109 -0.113228   
PC10 -0.382579 -0.381355  0.009919 -0.029200  0.044032 -0.009663  0.039784   
PC11 -0.138597 -0.156262 -0.044395 -0.004242 -0.117532 -0.034246 -0.060764   
PC12 -0.185176 -0.176237  0.071667  0.068199  0.042596  0.054018 -0.007938   
PC13 -0.022246  0.057647 -0.008246 -0.087425 -0.095562 -0.152184 -0.038591   
PC14  0.033025  0.014954  0.058998  0.213839  0.144565  0.281741  0.121428   
PC15  0.097376  0.103838  0.255336  0.090597  0.334344  0.131560  0.069195   
PC16  0.093534 -0.132327 -0.055989  0.053857 -0.104307  0.060050 -0.056006   
PC17  0.100861  0.062469  0.203457 -0.037430  0.289253  0.008570  0.139741   
PC18 -0.022844 -0.063309  0.012630  0.228772  0.028171  0.272343  0.063469   
PC19 -0.192517  0.039267  0.145193 -0.037861  0.141549 -0.025533 -0.016542   
PC20  0.032604 -0.116863  0.032504 -0.003423 -0.058692 -0.049132 -0.025148   
PC21 -0.027415  0.025228 -0.056119 -0.029067 -0.086431 -0.039799 -0.050997   
PC22  0.058575 -0.084221  0.143215 -0.064719  0.109088  0.005148 -0.112486   
PC23 -0.088583  0.102117 -0.041395  0.124657 -0.146766  0.099174 -0.080885   
PC24 -0.099545  0.322260 -0.118469  0.027381 -0.070591 -0.011115  0.053648   
PC25  0.073165 -0.181781  0.006140 -0.016365 -0.033762 -0.024210 -0.028064   
PC26 -0.090228  0.104330 -0.024285  0.054943 -0.017908  0.122405 -0.072708   
PC27 -0.119167  0.093084  0.123277 -0.009993  0.192861 -0.095296 -0.014763   
PC28 -0.015632  0.116577  0.020060 -0.033507 -0.107184  0.096654  0.002596   
PC29  0.029175 -0.061119 -0.008523  0.028226  0.136279  0.041323 -0.047388   
PC30 -0.113553  0.351099 -0.037313  0.046462  0.027883  0.057481 -0.022140   
PC31 -0.009432 -0.132858 -0.009427 -0.031746  0.092118 -0.061872  0.046329   
PC32  0.067492 -0.104234 -0.053942  0.025554 -0.037177 -0.007160  0.120435   
PC33 -0.044461  0.251878 -0.058038  0.059392 -0.056374  0.054215 -0.021985   
PC34 -0.021162 -0.078928 -0.064610  0.070115 -0.147740  0.083002 -0.164382   
PC35  0.035080  0.045534  0.098974  0.019427  0.079687  0.103511 -0.337463   
PC36 -0.064569  0.019504 -0.024698  0.050235  0.009664 -0.010536 -0.055969   
